SentenceID,AppName,Text,Sentiment
70f7f995-e24a-47d1-b441-b1d3fc2226f6,Bolt,"Such an easy app to use, really quick and easy to set up and had absolutely no problems with drivers.",positive
da71daae-b894-44eb-837f-1ec80cee7a18,Bolt,The drivers and the services have been exceptional since ever,positive
2f8b86d8-efc2-4401-9280-5461bd123a23,Bolt,All rides have been enjoyable.,positive
312dd6d4-3efa-4ba8-9b2a-b0bd743599a2,Bolt,Driver very knew where I was,neutral
ac0fe08e-c9ba-4744-8013-3b221b7d9d69,Bolt,most driver's are child friendly and patient.,positive
628abeb2-28f5-433e-971e-46159b4d7bac,Bolt,Quick and easy to use and drivers are quite friendly 😊,positive
6e43a59e-a7e5-422c-9a6e-9c4c066e2a9a,Bolt,I Love this App.....its easy☮️shows you the person who will drive for u and his Name too,positive
e29a55ef-83e8-41e7-960f-ed6353af0e56,Bolt,Best drivers ever,positive
50337d74-28fa-47ee-b9e1-6e34b5093ce8,Bolt,Good travel with the app,positive
0be28e69-bf47-40eb-88ef-de3d8b8c2d03,Bolt,Cabs r clean & drivers too,positive
e0946bce-018b-42a2-a5c8-9a378411ffba,Bolt,Love the rides,positive
60ab2185-e37f-436a-9ff8-c55b9d487c70,Bolt,"Fast, affordable & efficient means to get to any destination in Nairobi.",positive
a25365c0-45ac-476f-b0c6-681c59dee379,Bolt,Perfect transport,positive
1a9c7bce-729a-4015-995c-de5f296de708,Bolt,But the rider are vey wicked there use to add money on it.,negative
71ce596f-9102-42d5-9e1b-327658916ddb,Bolt,Its an easiest way to find a transport and its safer,positive
45cd3312-6126-492a-ba83-d7fda7bd4c74,Bolt,Safe to travel with,positive
27736c40-ee80-4944-a0e4-a662f417d5ff,Bolt,Always a good ride and very good drivers,positive
257e7fe1-90ef-44ab-9b94-a8b5fdadff4a,Bolt,The kids loved the spacious ride.,positive
d94b1575-414d-4928-b4d9-ae67eeb4fa0c,Bolt,I enjoyed my ride,positive
155dfd66-a027-4cc4-9287-894e0b0c508a,Bolt,Clean cars!,positive
299b7932-79d9-4a99-b912-b307c01c64b0,Bolt,Best service and best prices!,positive
bee3ba28-3dd6-4e7c-b9e2-a773fee34b65,Bolt,"Fast and convenient, friendly drivers with a smile..",positive
fab65e0f-0846-40ba-8b95-8243ac5f69f9,Bolt,I have never encounted any bad experience even the drivers are professional,positive
8a20fb67-826a-4d89-80bf-0a8229417c09,Bolt,Most convenient way of moving around ever!,positive
4853242d-c15b-4766-af97-b50748557081,Bolt,Nice ride's ☺️,positive
81304ffd-dcc1-4b26-888f-264ca27df1d9,Bolt,"Always satisfied, and the drivers come on time",positive
9b30bc25-4ba8-4e7d-ac4a-eed6cecb9c45,Bolt,Excellent rides and good driving skills been displayed.,positive
838078dd-dd9d-46c1-ae61-a8347dc04b8a,Bolt,My ride with bold and use of bolt had been nothing but exceptionally great,positive
c5376052-7435-4dba-a1ea-e6099edf0ac6,Bolt,Good driver ever,positive
707f8dbe-6049-4d37-bdf8-45c05b5752c4,Bolt,Awesome and driver very good,positive
c4ba3dbe-fa52-48bb-9db3-da21d3e370e3,Bolt,Other cars are super clean.,positive
72b8b36f-ec67-4af9-a548-547ed783aaa9,Bolt,Great drivers; hospitable,positive
eba478ee-5564-48c7-afff-560b3380ea7b,Bolt,You dont wait longer than 15 mins I love it and the prices are reasonable,neutral
6d87d0ae-fa37-4d8a-8739-88f9a66861e5,Bolt,Very efficient.Drivers are awesome,positive
6c641de0-d7d7-4b9e-90ed-985741e36cff,Bolt,Great drivers and cars,positive
8226c81b-b9f6-443b-a8d5-dff55d4ac5ff,Bolt,Its nice drivers are always friendly,positive
e786a6b5-b19e-4179-91c4-cc2e1e4d57b0,Bolt,cheapeat rate in Saudi,positive
5d4da377-0c11-4da1-a044-dcd08f8d1a70,Bolt,Drivers are always profesional.,positive
43d9cfdc-326b-4ca2-8939-0df2f8589bba,Bolt,"They give you a waiting time, but it is never respected, and not by 1 min, or 2.",negative
6952c2c1-a5ca-445a-b031-964c953bae2a,Bolt,The drivers shouldn t be aloud to give impossible pickup time.,negative
c57c32fe-2301-414a-9e2a-3ddd84fd77c5,Bolt,Generally okay but wait time could be better,neutral
5dc57d84-c655-4da2-b6f0-b6cf2154ae74,Bolt,drivers are friendly and cars are clean.,positive
e4b4d1e6-dd13-4f5b-8803-bb6d85f85891,Bolt,"As a regular user, they have definitely spiked the prices to be ridiculous amounts",negative
ee2cd510-f1d9-44f2-bf12-99dcdfebabb8,Bolt,I requested for help on the app but still no reply.,negative
3c944eb0-db4f-4ca2-ac7f-493c75abff21,Bolt,Utterly disappointed Will be deleting my account with bolt,negative
f7a477f0-3316-46ff-b8e7-932c62caddcb,Bolt,Answer to CS: I already sent a message in the app.,neutral
